Object,d_lum,r_50_phys,r_50_phys err,E(B-V)_nebular,E(B-V)_nebular err,E(B-V)_uv,E(B-V)_uv err,O2_3726A,O2_3726Ae,O2_3729A,O2_3729Ae,Ne3_3869A,Ne3_3869Ae,H1r_4861A,H1r_4861Ae,O3_4959A,O3_4959Ae,O3_5007A,O3_5007Ae,H1r_1216A,H1r_1216Ae,EW(Hb),EW(Hb) err,EW(O3+Hb),EW(O3+Hb) err,EW(LyA),EW(LyA) err,L(H1r_4861A),L(H1r_4861A) err,R23,R23 err,O32,O32 err,UV-beta,UV-beta err,beta1550,beta1550 err,M_1500,M_1500 err,SFR,SFR err,log10(SFR),log10(SFR) err,log10(Sigma_SFR)-Hbeta,log10(Sigma_SFR)-Hbeta err,log10(Sigma_SFR)-UV,log10(Sigma_SFR)-UV err,f_esc(LyA),f_esc(LyA) err,Te_O3,Te_O3 err,OH_12,OH_12 err,log10(Mstar),log10(Mstar) lower,log10(Mstar) upper,P(>N|B),f(LyC),f(LyC) err lower,f(LyC) err upper,f(LyC)/f1100,f(LyC)/f1100 err lower,f(LyC)/f1100 err upper,L(LyC),f_esc(LyC),f_esc(LyC) err,Wl-HI,Wl-HIerr,Rl-HI,Rl-HIerr,Wl-LIS,Wl-LISerr,Rl-LIS,Rl-LISerr,OI+Ly1026-Wl,OI+Ly1026-Wlerr,SiII1260-Wl,SiII1260-Wlerr,CII1334-Wl,CII1334-Wlerr,OI+Ly1026-Rl,OI+Ly1026-Rlerr,SiII1260-Rl,SiII1260-Rlerr,CII1334-Rl,CII1334-Rlerr
J082652+182052,1536.207414,0.563081135,0.132917933,0.03000946,0.017367833,0.1914,0.0487,100.3675603,9.003939155,94.77641613,8.581901935,57.76591445,5.531481419,147.5948136,11.00451537,258.5318988,18.71643043,813.7273371,57.69971935,254.64617,35.242298,107.8218528,4.537408456,729.1863464,18.86315126,23.751576,3.8910844,4.17E+41,3.11E+40,0.834764676,0.041159602,0.620123756,0.041408182,-1.615900682,0.282357991,-1.6,0.256,-19.122,0.1238,6.556940474,0.2123173,0.816701241,0.032380544,0.517379417,0.107509462,0.662464204,0.109501538,0.068937108,0.012017002,10504.07582,404.143948,8.304066105,0.051219358,8.50851243,0.42282816,0.44567487,0.849881368,0,0.205207555,0.205207555,0.015953272,0.015735165,0.015953272,5.80E+38,0.0089,0.0079,3.088985,0.408964,0.00487,0.072656,2.712363,0.61266,0.270576,0.160789,3.0291,0.897,-0.3174,2.1869,1.4967,1.5482,0.0519,0.1919,0.678,0.4878,0.3668,0.6669
J083440+480541,1810.996486,1.161620148,0.155676331,0.180205645,0.011894062,0.1252,0.0336,592.9355257,57.52363243,435.6777477,37.58310758,273.5651328,15.81691348,656.6796422,31.60763154,1155.324503,54.2903265,3505.866975,163.9907716,1362.8425,61.847851,183.7349926,4.596419878,1227.911468,18.6290663,70.269618,5.5593381,2.58E+42,1.24E+41,0.839173962,0.026962278,0.532543309,0.03541681,-1.259277827,0.244865263,-1.8751,0.1777,-19.9429,0.0849,40.54330962,0.847504289,1.607919198,0.020903678,0.679611057,0.061842641,0.059386849,0.080639774,0.080667058,0.007041334,11728.99314,760.6760813,8.172273064,0.034472827,9.12308111,0.42682021,0.44211179,0.326971333,0.082210455,0.218887227,0.226348458,0.004302691,0.011563865,0.011976471,3.23E+38,0.016,0.0341,2.794009,0.205292,0.088908,0.047845,1.787775,0.580492,0.376726,0.190489,2.9486,0.6698,0.2035,1.2979,1.6842,1.518,0.0151,0.1214,0.3747,0.3828,0.503,0.4516
J0901+2119 ,1548.49572,0.58480566,0.126972637,0.134373223,0.016836908,0.2078,0.0733,125.8448959,10.93461946,137.4630001,11.42596568,158.8942706,11.65132692,296.069147,18.63515983,666.6550979,40.55385143,1973.899612,117.011392,1062,23,219.0076934,7.600462865,1757.007003,59.72026151,179,3.9,8.50E+41,5.35E+40,0.878313116,0.035673537,0.874861179,0.036650014,-1.510291902,0.322151478,-1.4871,0.38,-18.4842,0.1831,13.36421953,0.365315311,1.125943601,0.027335327,0.793740598,0.098176018,0.372519755,0.099299818,0.147461494,0.013041693,13312.79173,848.0476534,8.102091972,0.044590209,9.8,0.15202864,0.15202864,0.016880676,0.361692684,0.175614885,0.207317964,0.061525215,0.030352403,0.035254392,2.87E+39,0.0257,0.0464,0.973957,0.559216,0.141844,0.146353,1.776482,0.787438,0.418575,0.216369,0.7611,1.5585,1.7844,1.3403,3.035,1.8297,-0.0677,0.2362,0.3992,0.4119,0.1658,0.403
J090918+392925,1443.71476,0.35549807,0.121570326,0.208573072,0.019380025,0.0371,0.0452,59.0783337,8.250864059,69.60860171,7.753665344,129.6127867,10.9237667,257.5317571,15.98762219,612.6477738,35.56141503,1826.642518,103.705332,1774.0385,40.779594,283.8372613,19.37146886,2372.691941,155.4349842,140.42004,12.530307,6.42E+41,3.99E+40,0.880389151,0.035549683,1.152119104,0.045475452,-2.163263021,0.199172964,-2.473,0.2696,-18.7334,0.1081,10.10471372,0.272434066,1.004524014,0.026961087,1.104669651,0.150943846,0.346505936,0.150186782,0.295487987,0.036782332,18336.4572,1251.177234,7.689037494,0.045010599,8.6779444,0.42285882,0.44585023,0,3.278407885,0.410084838,0.430306564,0.245298503,0.030277007,0.032147553,8.18E+39,0.4911,0.3365,0.69822,0.408774,0.235856,0.09195,0.369394,0.822087,0.572253,0.32865,-1.9409,0.9913,0.5842,1.3291,0.9185,1.4768,0.0244,0.1434,0.5556,0.5615,0.4668,0.548
J091021+610550,1387.371868,0.339090798,0.11820797,0.490333752,0.02070247,0.2441,0.0103,1107.425709,93.10641108,710.2606429,84.08541719,178.8297729,104.8232131,1032.478824,43.99089327,280.4396048,28.01693609,840.0605622,39.33414553,1523.331,60.930631,20.54656536,0.418392272,38.09305514,0.634170616,18.599533,2.2842654,2.38E+42,1.01E+41,0.410632469,0.028354465,-0.33520835,0.036221525,-0.68844827,0.054456794,-1.4309,0.05,-20.9701,0.0218,37.41083064,0.692250534,1.572997351,0.018504014,1.714185475,0.152522843,1.904796624,0.151737982,0.055793698,0.003920574,7088.049397,109.7385621,8.587176474,0.043826751,10.44,0.161957041,0.161957041,0,15.04389536,1.087106659,1.104655211,0.259498223,0.018418346,0.01818234,2.30E+39,0.028,0.0039,1.479705,0.155978,0.580825,0.074134,1.319932,0.155862,0.67663,0.060491,-99,-99,1.1176,0.32,0.5266,0.4909,-99,-99,0.6616,0.0962,0.7187,0.129
J091113+183108,1330.252413,0.442376066,0.117491278,0.184500862,0.012973616,0.2377,0.0248,898.0727747,55.83212874,564.3346513,39.78896698,223.8913329,15.57197743,758.5098099,38.24691516,882.3911974,43.82884116,2659.324508,129.0358113,3206.654,105.82044,73.23866489,1.491946789,346.2437153,3.771879313,53.803199,4.8831763,1.61E+42,8.10E+40,0.735118541,0.026769286,0.259702952,0.029301947,-1.044752793,0.133440971,-1.4403,0.107,-20.561,0.0485,25.26735272,0.553323693,1.402559743,0.02189876,1.312796631,0.117405267,1.622695618,0.117772606,0.158375724,0.011356102,12300.58556,1048.615942,8.060318147,0.037191668,10.0412984,0.37020559,0.49734062,0,7.256239636,1.177554259,1.30111087,0.121294563,0.018827703,0.020875879,1.54E+40,0.0232,0.0139,1.748043,0.236062,0.224723,0.07007,0.974516,0.402187,0.545469,0.133076,-1.1457,0.9987,0.7076,0.7676,1.8226,1.0268,0.1863,0.1558,0.4723,0.2931,0.3859,0.3298
J091207+523960,1243.221664,0.803519332,0.12359734,0.267737641,0.01166675,0.1971,0.0349,794.0100864,40.45643544,660.4151833,34.58308244,120.7190514,7.775989224,440.38654,19.51826228,463.7592842,21.19996613,1320.075849,55.41372318,824.96666,32.020932,72.74308382,1.772791337,307.4257624,4.509881346,50.187577,4.9812623,8.15E+41,3.61E+40,0.799350868,0.022696684,-0.042092526,0.024185354,-1.040237926,0.170024018,-1.6591,0.1797,-18.9566,0.0776,12.81331804,0.246634052,1.107661606,0.019248258,0.499489077,0.06952093,0.300114552,0.086263526,0.069127693,0.004672733,11777.48019,875.4495095,8.166330834,0.03084298,10.2560465,0.42733784,0.44150605,0.243866002,0.341619278,0.59926324,0.600216084,0.021022959,0.035945185,0.03568008,6.32E+38,0.008,0.0123,2.779055,0.250355,0.075222,0.077802,1.649494,0.448212,0.550994,0.162499,2.5694,0.5926,1.8898,0.8699,2.6925,1.2908,-0.0958,0.1355,0.5168,0.3122,0.3195,0.4168
J091208+505009,1718.957255,1.175780189,0.143902783,0.108779506,0.013054456,0.1575,0.03,216.1846298,15.81235322,212.6412128,14.82943201,99.30092719,6.684218651,247.3460782,14.19658336,427.3296202,24.24976797,1271.712779,70.34272403,1014.0585,49.361209,91.25525534,1.974629849,582.8821805,8.859882052,40.129188,3.7984118,8.75E+41,5.02E+40,0.837281471,0.031220383,0.472108086,0.03254344,-1.330450519,0.182080114,-2.0037,0.1468,-19.9986,0.0663,13.75832658,0.342948358,1.138565614,0.024926604,0.199733468,0.058707509,0.249007088,0.055996645,0.159190138,0.015138991,11819.88604,897.4310509,8.181586899,0.03938209,8.83560189,0.3568951,0.65840269,0.323685743,0.073639636,0.197417748,0.191212879,0.003042168,0.008108666,0.007976209,2.60E+38,0.0025,0.0087,3.087172,0.167453,0.132131,0.041159,0.422924,0.528503,0.78363,0.191004,1.8731,0.6282,0.5059,1.1437,-0.5739,1.5075,0.0742,0.1092,0.6384,0.3525,0.8075,0.5355
J091703+315221,1554.79124,0.407093293,0.128748754,0.192001311,0.011677165,0.0774,0.0243,396.9672305,21.77156078,348.6500743,20.46471386,136.4139538,8.718950033,431.6732313,20.18847567,495.714054,22.96354634,1474.119629,66.89043806,1571.6898,84.270549,50.67890856,0.798428536,232.7572523,2.072187401,30.120942,3.0946246,1.25E+42,5.84E+40,0.71114639,0.024859412,0.29601675,0.026291691,-1.65691989,0.169597193,-2.2699,0.1183,-20.5166,0.0564,19.64399062,0.39899039,1.293229718,0.020311066,1.275661956,0.138845141,1.043787881,0.139157783,0.128706951,0.010058172,9154.961896,167.6025729,8.458963555,0.035331414,9.31303787,0.43115357,0.43747667,0,7.455658747,0.731794331,0.794661186,0.149264808,0.014295161,0.015311609,2.16E+40,0.1607,0.0648,1.977174,0.280782,0.042851,0.054068,1.291816,0.479638,0.628056,0.173795,2.4643,0.4252,1.555,0.9605,-0.2427,1.5884,-0.0398,0.0673,0.4409,0.4408,0.51,0.4554
J0919+4906,2204.953977,0.409068845,0.155484332,0.019437403,0.021770699,0.181,0.0811,11.11850261,1.36116325,14.6352338,1.546366499,26.28862942,2.61837239,52.06800354,4.504953146,109.7318349,9.03190941,326.4699932,26.75372999,817,95,222.8841643,12.94688639,1724.382474,83.99233113,219.5,3.7,3.03E+41,2.62E+40,0.830247686,0.050065373,1.103003024,0.049734449,-2.535758569,0.506396931,-1.8223,0.4258,-19.209,0.2362,4.76541156,0.179062265,0.678100414,0.037575404,0.656327736,0.169295061,0.843710579,0.169049557,0.557924429,0.08371938,14957.16613,1156.399154,7.909171366,0.061768354,7.51,0.11650358,0.11650358,0,0.978737603,0.120417275,0.132949629,0.177496778,0.022539259,0.024885909,5.82E+39,0.0493,0.1306,1.42408,0.33628,0.26363,0.109095,0.868461,1.229585,0.504758,0.342421,0.668,1.6083,0.9496,1.8649,0,0,0.3021,0.2022,0.543,0.534,0,0
J0925+1403 ,1560.575613,0.402540371,0.12525578,0.142950636,0.012604034,0.1063,0.0236,289.5668641,21.0773717,323.54929,25.44382626,249.9633083,16.33221927,506.572471,26.66446995,1013.978391,52.30347769,3001.586674,153.0124618,8200,164,172.7839026,3.997552491,1299.485033,23.4820232,83,2.1,1.48E+42,7.77E+40,0.853431014,0.029602458,0.68980813,0.032215947,-0.992747746,0.120858198,-2.0615,0.1243,-19.8109,0.054,23.22424728,0.530905619,1.365941647,0.022859971,1.358142894,0.137056376,0.875956639,0.136056021,0.537374299,0.033362533,13587.06301,837.8074786,8.022071903,0.036974221,8.380211242,0.130288345,0.130288345,0,3.048286925,0.360686922,0.37256199,0.124176365,0.014119504,0.015504357,2.91E+39,0.0917,0.0272,0.4099,0.4849,0.3319,0.1885,0.819948,0.354333,0.704194,0.114845,0.4099,0.4849,0.223,0.7185,1.1713,0.9703,0.3319,0.1885,0.811,0.2191,0.6665,0.2671
J092552+395714,1638.090218,1.065622185,0.140037148,0.136433603,0.020632562,0.1764,0.0717,112.4987703,8.902858481,156.3433856,11.99131075,55.13945918,4.894087728,115.4527554,8.149104482,190.8682768,12.88848243,580.4439061,38.50945268,267.6945,43.354642,56.72521634,1.837407901,357.5328227,7.739224124,19.874231,3.6830979,3.71E+41,2.62E+40,0.866649694,0.03722627,0.334262887,0.037580283,-1.701426453,0.309197179,-1.9081,0.3594,-19.4017,0.1672,5.831903995,0.178772316,0.765810366,0.030654194,-0.087576009,0.064783571,0.161135019,0.06289317,0.090653975,0.016487925,11326.77724,490.2808234,8.242003812,0.049040786,8.78319318,0.38524088,0.55366711,0.65838718,0,0.208165632,0.241162254,0.016354005,0.014359627,0.016354005,7.75E+38,0.0045,0.01,3.026976,0.332313,0.014538,0.075375,1.296005,1.012908,0.380128,0.238839,3.1281,1.3202,-0.6357,2.4836,-99,-99,-0.2557,0.2974,0.4215,0.5871,0.2144,1.0657
J093355+510925,1500.811533,0.386605034,0.125826261,8.50E-07,0.031428875,0.0884,0.0316,41.82033434,5.216249531,47.29691106,5.858925528,91.56167979,10.80183817,199.8167952,20.43690855,409.9712213,41.15874512,1219.470039,122.0803542,2876.5279,48.283442,288.5399,11.79343828,2269.43812,58.99446701,248.97409,21.523353,5.39E+41,5.51E+40,0.816170707,0.060177792,1.136209381,0.057893595,-1.904620805,0.189342378,-2.1578,0.1609,-18.8567,0.0809,8.472561618,0.37634163,0.928014736,0.044418872,0.955299857,0.148162575,0.501378302,0.142272602,0.614668314,0.08759108,16846.58789,1310.204084,7.728482643,0.093826771,8.42254723,0.42419876,0.44413046,0,2.275484128,0.24999419,0.262901736,0.183533786,0.021234728,0.022184365,6.14E+39,0.2659,0.1084,2.075682,0.288688,0.280341,0.105782,-0.438069,0.550779,0.80213,0.192758,1.5633,0.5424,0.3922,1.0747,-0.8938,1.8208,0.2535,0.1719,0.643,0.4381,0.7727,0.7434
J094001+593244,1991.95895,0.793970758,0.151508246,0.123406645,0.030085626,0.2408,0.048,174.663873,17.456524,222.5785468,21.57919131,48.36054268,5.89845485,142.413368,12.57337163,174.9552802,14.89052153,547.3711288,45.10136651,192.11543,37.709247,30.5137739,1.132124823,151.0202282,2.926841474,9.9431354,2.2595796,6.76E+41,5.97E+40,0.821703413,0.045420215,0.139226268,0.046918244,-1.48310289,0.315170155,-1.3285,0.2406,-20.3404,0.1268,10.63755837,0.407875166,1.026841956,0.038342931,0.429053072,0.091313798,0.954973976,0.086655945,0.044000813,0.009494314,10739.9322,488.2108784,8.382396411,0.068453435,9.41408172,0.42910621,0.44239332,0.563687275,0,0.22065363,0.202575104,0.011512753,0.011929268,0.011512753,9.62E+38,0.002,0.0014,3.045863,0.262596,0.110837,0.076448,2.660411,0.623217,0.158653,0.198341,2.3911,1.1093,2.7882,1.0092,3.2696,1.836,0.1701,0.1525,0.1446,0.3557,-0.0189,0.7379
J095236+405249,1664.981934,0.893209007,0.143013802,0.100691668,0.028923851,0.0398,0.0214,103.5131093,10.5273475,119.4466396,12.31718735,65.21280704,7.081322381,132.5217771,11.56845099,248.9012852,20.89956209,743.9124856,60.88207055,771.11186,47.787625,70.34052343,3.867113877,468.8942483,14.232626,25.74564,2.7525738,4.40E+41,3.84E+40,0.863081838,0.047308568,0.523295381,0.047533187,-2.296716558,0.156408329,-2.276,0.1139,-20.0554,0.0507,6.915709339,0.262185703,0.839836732,0.037911614,0.139750676,0.07919933,0.059233953,0.071599325,0.229170998,0.028092946,11093.10433,516.0867293,8.266231519,0.066922986,8.70164935,0.40953669,0.47629995,8.43E-05,0.648563022,0.19348388,0.219344416,0.020361501,0.006213312,0.00658437,2.15E+39,0.0421,0.0175,3.299378,0.127708,0.168788,0.041208,0.41608,0.419223,0.667879,0.135059,3.0986,0.3373,0.564,0.8898,-0.0974,1.235,0.1816,0.1316,0.6608,0.2976,0.6002,0.3625
J095700+235709,1228.388888,1.34191744,0.142334162,0.300763156,0.013621556,0.3734,0.0228,1412.830267,65.96959953,1402.925924,66.09656158,159.1297919,14.27579427,944.4369751,41.654839,434.4994928,21.27109805,1369.328418,57.8873024,-675.39101,62.546685,25.7013375,0.470916072,64.46316187,0.68196326,-11.355046,2.6028042,1.71E+42,7.52E+40,0.646531261,0.022291262,-0.313087426,0.023335141,-0.345556052,0.119517116,-0.6834,0.1228,-20.7036,0.0519,26.82718907,0.513868449,1.42857517,0.019154763,0.374943707,0.049888434,1.200211823,0.050399242,-0.02647651,-0.002819885,9151.815093,138.4005394,8.398319836,0.035280324,10.7615769,0.42650956,0.44131958,0.78262409,0,1.142356307,1.144974433,0.018929121,0.018193508,0.018929121,2.07E+39,0.0008,0.0006,3.819347,0.175605,0.142038,0.067039,3.133807,0.302337,0.283268,0.084368,3.2191,0.3973,1.98,0.6673,2.8557,0.8577,0.2917,0.1808,0.3576,0.2128,0.2221,0.2529
J095838+202508,1562.588594,0.48827565,0.129660459,0.332759993,0.018205735,0.1534,0.0582,152.5798207,12.97879521,157.2364173,13.47990542,198.6808935,14.12827704,335.7813156,16.42175908,635.3140076,30.45575248,1897.053653,87.71807937,836.06674,43.788302,131.152802,6.470899923,985.2279605,35.24696258,67.58274,6.5806323,9.81E+41,4.80E+40,0.817720203,0.027616441,0.786975438,0.033035089,-1.812354914,0.295105499,-1.8232,0.2995,-19.2396,0.1503,15.4339204,0.327811145,1.188476256,0.021239655,1.012966255,0.117265438,0.655315331,0.118047783,0.106623747,0.01222999,15615.15397,1363.022536,7.801240094,0.037496625,8.69556024,0.42124783,0.44753799,0.014749156,0.416036586,0.192303339,0.235088251,0.030992854,0.014716926,0.017467447,1.22E+39,0.0188,0.0215,1.423173,0.406318,0.169777,0.120399,1.622069,0.835988,0.193509,0.207661,1.7534,0.6854,0.3264,2.5465,-1.5299,3.1525,0.0089,0.1711,-0.0055,0.4822,0.5859,1.0162
J1011+1947 ,1747.2927,0.279074342,0.132807082,0.356292886,0.015123165,0.1306,0.0576,125.3068215,12.66747481,120.7933594,13.4961544,414.7739016,23.6038317,477.3098989,21.46781022,1693.692151,70.15902689,4968.191602,205.5659488,1234,26,193.7405119,9.843205975,2357.422592,85.86804272,121,3.1,1.74E+42,7.84E+40,1.038394889,0.026020435,1.305086403,0.037280824,-1.495646499,0.277023498,-2.2113,0.2864,-18.8539,0.1362,27.43229838,0.535838376,1.438262196,0.01953312,1.74864251,0.207594904,1.005182336,0.210275818,0.09045345,0.00624951,16268.87713,1303.664119,7.918484878,0.034258421,9,0.139618138,0.139618138,0,1.994102918,0.349070693,0.392601573,0.201468888,0.03300751,0.036144599,3.65E+39,0.0898,0.1655,2.182449,0.305318,0.249868,0.089254,0.01424,0.877778,0.585635,0.255864,1.7137,1.1221,1.1671,1.8057,1.6037,2.1085,0.215,0.2481,0.5421,0.4647,0.3996,0.4798
J101401+523251,1887.080568,0.718548587,0.147340525,0.062358908,0.033978551,0.272,0.0884,66.17286061,7.554208104,81.50115636,9.15762909,9.521491831,1.704022848,50.59826813,5.148644511,34.3285111,3.702161804,105.345666,10.14816096,592.09863,44.73933,33.83661153,1.342282028,108.9682096,2.658514823,64.103518,7.5723125,2.16E+41,2.19E+40,0.699018655,0.051686827,-0.146687415,0.054490025,-1.575210499,0.467906544,-1.146,0.4795,-19.6171,0.2407,3.391930671,0.149895478,0.530446967,0.044191787,0.019354819,0.09941538,0.93406653,0.094739796,0.432870508,0.05861545,9540.392766,643.6783323,8.326047795,0.073679368,8.96118722,0.4296677,0.43922225,0.874003965,0,0.194693043,0.171760484,0.016395018,0.017987513,0.016395018,7.32E+38,0.0023,0.0066,2.962967,0.338735,100,-99,1.093845,1.298003,0.509611,0.36468,-0.1518,2.1794,1.0467,3.3564,-0.0871,814.7016,-0.0181,0.2318,-0.161,1.5843,0.1923,2.6241
J102615+633308,1756.84612,1.402869743,0.153699075,9.14E-10,0.070999291,0.1386,0.0363,118.4594964,21.52162069,74.65782956,13.71794441,61.80138533,11.12634123,117.548653,18.13219057,246.6942969,37.27032714,721.3210393,107.5660918,972.52554,50.415555,108.0015022,4.618150946,808.0313126,22.61182421,53.553475,5.2630498,4.34E+41,6.70E+40,0.890936782,0.085114887,0.572307361,0.086536214,-1.64133878,0.2282817,-1.921,0.1832,-19.8064,0.0881,6.829918714,0.457543576,0.834415535,0.066991072,-0.25779903,0.082169361,-0.117705243,0.051427105,0.354736778,0.100764799,15523.43189,2201.550124,7.872871461,0.100019034,8.39462604,0.43057843,0.43915851,0.007477523,0.425520777,0.184856586,0.208467869,0.024760284,0.010524264,0.012061486,1.57E+39,0.0149,0.0117,1.944258,0.259312,0.298561,0.079822,1.248059,0.540757,0.62543,0.214333,2.2818,0.6244,1.9649,0.866,-1.0258,3.1958,0.0998,0.1907,0.3861,0.3215,0.5753,0.6652
J103344+635317,1836.567912,0.543513337,0.142137217,0.081925001,0.01254923,0.0678,0.0256,304.3663725,22.63780889,289.1501136,21.76766013,152.7629179,10.63149121,376.6170678,21.98736001,691.74609,38.90609105,2034.462541,112.9990854,3511.842,269.1817,80.06640652,1.504603529,536.1633041,6.091053212,60.939731,6.0600337,1.52E+42,8.88E+40,0.843721897,0.031914134,0.535016911,0.033316011,-2.092622968,0.199467914,-2.1631,0.1254,-21.0033,0.0622,23.91356979,0.606319881,1.378644412,0.025354637,1.110044133,0.116370481,0.930348397,0.114833189,0.348813067,0.037931336,11316.51594,897.5211485,8.241802552,0.039104966,9.13318444,0.42798868,0.44123826,0,9.734857534,0.754143658,0.786148304,0.179664828,0.014528305,0.015215269,3.93E+40,0.3052,0.1362,2.412982,0.159161,0.366116,0.058041,0.214399,0.506873,0.702917,0.174466,1.3613,0.5475,0.365,0.9529,1.2318,1.1853,0.2717,0.1761,0.6801,0.389,0.5155,0.5318
J103816+452718,1708.53467,0.628300584,0.139469446,0.250667633,0.012181492,0.2063,0.0191,782.6900559,39.11054943,930.0866765,46.47612216,225.8539341,13.50778936,731.4481517,32.59564841,793.8684402,34.88541827,2411.582759,105.4022941,1365.2081,100.96677,45.7591315,0.748074095,204.3173584,2.352344762,15.17087,1.8392761,2.56E+42,1.14E+41,0.751172966,0.023208944,0.148601416,0.024444255,-1.506855307,0.141428836,-1.5251,0.0957,-21.5086,0.0434,40.19403154,0.777896757,1.604161569,0.019353539,1.209646773,0.098327656,1.503299085,0.099752295,0.06862798,0.00633014,9794.476681,162.8225124,8.376955785,0.031799618,10.4513736,0.42311371,0.44561835,2.37E-06,1.619712263,0.45195995,0.483119161,0.021176805,0.005734551,0.006094378,5.66E+39,0.007,0.0023,2.873706,0.141272,0.229431,0.049573,1.197321,0.337049,0.572953,0.114512,1.713,0.4502,2.5291,0.5586,1.2399,1.1913,0.2083,0.1064,0.3477,0.1927,0.3537,0.3181
J1046+5827,2151.404183,-999,-999,0.002171247,0.01647712,0.0363,0.027,45.8498306,4.203829533,57.23119776,5.13271101,41.68298708,3.758496494,77.78959862,5.858095412,155.5178015,11.65545569,463.043491,33.78434657,653,82,148.1706509,6.772028967,1167.090521,35.62593533,65.3,2.2,4.31E+41,3.24E+40,0.861990434,0.04203863,0.652443041,0.042253696,-2.54496793,0.267838138,-2.5903,0.133,-19.7528,0.067,6.777912812,0.221674228,0.831095978,0.032705382,-999,-999,-999,-999,0.285296928,0.042609969,14268.59048,1274.26484,7.95015048,0.050390399,7.89,0.122398568,0.122398568,0.972600934,0,0.138062337,0.130560112,0.009303358,0.009493046,0.009303358,5.54E+39,0.0104,0.0084,2.980497,0.183315,0.108548,0.046356,1.742527,0.594116,0.402431,0.148827,0.1616,0.8465,1.6425,1.0283,0,0,0.2047,0.1228,0.5375,0.3139,0,0
J105117+474357,1766.672883,1.214426377,0.154526416,0.126273154,0.018871747,0.4514,0.0796,154.7997914,11.46108042,214.134697,15.23552159,44.23478488,3.729928104,121.3173357,8.277776623,144.2702391,9.751789507,448.8361938,28.82445495,251.88398,57.584438,39.72470871,1.155183933,199.5531795,2.947726016,13.634981,3.5967725,4.53E+41,3.09E+40,0.828708673,0.034856229,0.085138615,0.03579883,-1.084466068,0.454526341,-0.2765,0.457,-20.59,0.2394,7.127965352,0.211222769,0.85296558,0.029632968,-0.113956671,0.062704468,1.405682087,0.065571402,0.078692609,0.019148064,11022.94796,453.0566726,8.214543488,0.047501184,9.05410495,0.42950376,0.43982824,0.466261445,0,0.27117333,0.296540908,0.016793934,0.014759319,0.016793934,1.11E+39,0.0003,0.0003,3.202846,0.419698,100,-99,3.84149,0.821075,100,-99,1.0387,1.7784,2.7822,1.3007,-99,-99,0.1629,0.3592,0.0913,0.5138,0.0295,1.8575
J105331+523753,1275.040519,0.618102327,0.11749129,0.073541728,0.008260671,0.1472,0.0138,970.3220077,52.87490651,618.6431558,34.6040161,326.71553,18.6464948,895.8535242,42.08911425,1341.321394,62.34053046,4052.060695,185.0692758,990.95225,144.13867,73.35799342,0.862624999,417.1627322,2.715777424,6.6904463,1.6166822,1.74E+42,8.19E+40,0.799121084,0.025357582,0.406561566,0.02630116,-1.393064668,0.070768846,-1.7871,0.0677,-21.3326,0.0304,27.41671446,0.559412917,1.438015409,0.020404083,1.057714784,0.085036594,1.263208956,0.083595733,0.039308632,0.006118521,11409.20333,541.76982,8.251475042,0.032371121,9.28494402,0.43114114,0.4380166,2.92E-05,2.689838508,0.863805771,0.963375823,0.019281368,0.006110629,0.006881188,5.23E+39,0.0124,0.0052,3.469115,0.090782,0.168581,0.033088,1.112584,0.210211,0.658185,0.070638,2.9165,0.243,1.0298,0.4232,1.9859,0.5727,0.1342,0.0644,0.6538,0.1754,0.3899,0.1503
J105525+485724,2045.62263,1.508513665,0.162364963,0.272005842,0.031989552,0.3657,0.0572,212.9095718,16.15588915,278.165066,19.71601519,52.65436036,5.163478804,107.2143767,7.809008556,122.8782537,9.411330322,378.2458201,25.91102999,59.803471,29.713137,14.56730034,0.439529957,70.74884528,1.363116524,4.7034487,2.4847939,5.37E+41,3.91E+40,0.908926875,0.036473403,-0.113373368,0.037326463,-1.640538069,0.464299399,-0.6509,0.307,-20.3579,0.1637,8.445677504,0.267154,0.926634494,0.031632039,-0.228643872,0.056441143,0.792183922,0.056395658,0.022037601,0.01115693,13073.64645,686.4422144,8.050933397,0.064011888,9.51420279,0.43134246,0.43852201,0.586251093,0,0.165900225,0.170017682,0.014450239,0.013927857,0.014450239,8.52E+38,0.0014,0.0012,3.599379,0.26584,0.018898,0.083163,3.606987,0.908606,0.12911,0.316272,3.1418,0.9521,1.6156,1.7886,0.1976,5.4494,-0.0267,0.1331,-0.0356,0.6449,0.1622,2.2308
